date,year,area_id,area_name,display_name,area,lat,lon,property_type,txn_count,median_pps,median_price,median_area_sqft
2022-04-01,2022,9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,25.05,55.19,Villa,10,4272.58,2825000.00,660.56
2022-04-01,2022,10,Al Barsha South Fourth,Arjan,Arjan,25.06,55.24,Land,11,3840.16,10000000.00,2604.06
2022-04-01,2022,10,Al Barsha South Fourth,Arjan,Arjan,25.06,55.24,Unit,448,10194.72,500000.00,49.05
2022-04-01,2022,10,Al Barsha South Fourth,Arjan,Arjan,25.06,55.24,Villa,15,9986.68,1350000.00,135.18
2022-04-01,2022,14,Al Barshaa South Third,Al Barsha South 3,Al Barsha South 3,25.06,55.24,Unit,145,12265.62,628000.00,51.20
2022-04-01,2022,28,Al Hebiah Fifth,DAMAC Hills 2 (Akoya),DAMAC Hills 2 (Akoya),24.99,55.37,Land,426,11847.22,1706000.00,144.00
2022-04-01,2022,28,Al Hebiah Fifth,DAMAC Hills 2 (Akoya),DAMAC Hills 2 (Akoya),24.99,55.37,Unit,24,6793.20,545000.00,79.72
2022-04-01,2022,30,Al Hebiah Fourth,DAMAC Hills,DAMAC Hills,25.03,55.26,Land,41,14621.22,3200000.00,218.86
2022-04-01,2022,30,Al Hebiah Fourth,DAMAC Hills,DAMAC Hills,25.03,55.26,Unit,78,6639.94,622500.00,93.73
2022-04-01,2022,30,Al Hebiah Fourth,DAMAC Hills,DAMAC Hills,25.03,55.26,Villa,36,10672.09,4335000.00,407.63
2022-04-01,2022,32,Al Hebiah Sixth,DAMAC Lagoons,DAMAC Lagoons,25.00,55.24,Villa,15,9130.58,2825000.00,309.40
2022-04-01,2022,33,Al Hebiah Third,DAMAC Hills 2,DAMAC Hills 2,24.99,55.39,Land,15,12454.89,2485000.00,199.52
2022-04-01,2022,33,Al Hebiah Third,DAMAC Hills 2,DAMAC Hills 2,24.99,55.39,Unit,55,10303.54,1552950.00,150.72
2022-04-01,2022,33,Al Hebiah Third,DAMAC Hills 2,DAMAC Hills 2,24.99,55.39,Villa,18,8468.46,2850000.00,336.71
2022-04-01,2022,35,Al Jadaf,Al Jaddaf,Al Jaddaf,25.21,55.32,Unit,35,9941.88,650000.00,65.38
2022-04-01,2022,39,Al Khairan First,Dubai Creek Harbour,Dubai Creek Harbour,25.20,55.36,Unit,302,18923.72,3162888.00,167.21
2022-04-01,2022,44,Al Kifaf,,Al Kifaf,25.23,55.30,Unit,69,17058.51,1564777.00,91.73
2022-04-01,2022,49,Al Merkadh,Meydan,Meydan,25.16,55.31,Land,69,13403.33,10508214.00,784.00
2022-04-01,2022,49,Al Merkadh,Meydan,Meydan,25.16,55.31,Unit,244,18298.71,2212771.00,120.92
2022-04-01,2022,79,Al Safouh Second,,Al Safouh Second,,,Unit,19,36953.79,14538360.00,393.42
2022-04-01,2022,82,Al Thanayah Fourth,The Greens & The Views,The Greens & The Views,25.09,55.17,Villa,54,9094.36,3750000.00,411.02
2022-04-01,2022,83,Al Thanyah Fifth,Jumeirah Lakes Towers,Jumeirah Lakes Towers,25.07,55.14,Unit,194,9224.85,1250000.00,135.19
2022-04-01,2022,83,Al Thanyah Fifth,Jumeirah Lakes Towers,Jumeirah Lakes Towers,25.07,55.14,Villa,37,7444.30,9700000.00,1303.01
2022-04-01,2022,84,Al Thanyah First,Emirates Hills,Emirates Hills,25.06,55.16,Unit,21,21637.22,1200000.00,55.46
2022-04-01,2022,85,Al Thanyah Third,Barsha Heights (TECOM),Barsha Heights (TECOM),25.10,55.17,Unit,54,12243.02,897500.00,73.30
2022-04-01,2022,85,Al Thanyah Third,Barsha Heights (TECOM),Barsha Heights (TECOM),25.10,55.17,Villa,15,13235.98,3100000.00,234.21
2022-04-01,2022,95,Al Warsan First,International City,International City,25.17,55.42,Unit,117,4888.89,220000.00,45.00
2022-04-01,2022,98,Al Wasl,Al Wasl (City Walk area),Al Wasl (City Walk area),25.20,55.26,Unit,70,19946.46,1682500.00,84.34
2022-04-01,2022,99,Al Yelayiss 1,Town Square (Al Yelayiss 1),Town Square (Al Yelayiss 1),25.00,55.30,Villa,21,8234.52,2000000.00,242.88
2022-04-01,2022,100,Al Yelayiss 2,Town Square,Town Square,25.00,55.29,Villa,79,8518.99,1600888.00,187.92
2022-04-01,2022,102,Al Yufrah 1,,Al Yufrah 1,25.00,55.44,Villa,98,8364.30,1455388.00,174.00
2022-04-01,2022,103,Al Yufrah 2,DAMAC Lagoons / Al Yufrah 2,DAMAC Lagoons / Al Yufrah 2,24.96,55.38,Land,46,7813.97,877040.00,112.24
2022-04-01,2022,103,Al Yufrah 2,DAMAC Lagoons / Al Yufrah 2,DAMAC Lagoons / Al Yufrah 2,24.96,55.38,Villa,26,7109.58,1121000.00,157.28
2022-04-01,2022,104,Al Yufrah 3,Al Yufrah 3,Al Yufrah 3,24.96,55.38,Land,18,6909.05,2148340.00,311.78
2022-04-01,2022,118,Burj Khalifa,Downtown Dubai,Downtown Dubai,25.19,55.28,Unit,408,26739.87,3502388.00,130.98
2022-04-01,2022,120,Business Bay,Business Bay,Business Bay,25.19,55.26,Unit,649,18286.11,1574800.00,86.12
2022-04-01,2022,122,Dubai Investment Park First,Dubai Investment Park 1,Dubai Investment Park 1,24.99,55.17,Villa,35,6582.32,900000.00,136.73
2022-04-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Land,29,11231.25,5100000.00,454.09
2022-04-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Unit,140,16275.69,1785200.00,109.71
2022-04-01,2022,126,Hadaeq Sheikh Mohammed Bin Rashid,Mohammed Bin Rashid City,Mohammed Bin Rashid City,25.16,55.29,Villa,40,12730.40,3912500.00,307.26
2022-04-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Land,59,7383.95,3618800.00,490.09
2022-04-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Unit,126,9280.86,921960.00,99.34
2022-04-01,2022,133,Jabal Ali First,Discovery Gardens & The Gardens,Discovery Gardens & The Gardens,25.05,55.13,Villa,12,11052.28,2500000.00,226.20
2022-04-01,2022,135,Jabal Ali Industrial Second,,Jabal Ali Industrial Second,,,Unit,22,13585.37,436500.00,32.13
2022-04-01,2022,138,Jumeirah First,Jumeirah 1,Jumeirah 1,25.22,55.26,Unit,98,26168.52,1931500.00,73.81
2022-04-01,2022,144,Madinat Al Mataar,Dubai South,Dubai South,24.91,55.16,Unit,26,6530.53,443500.00,67.97
2022-04-01,2022,144,Madinat Al Mataar,Dubai South,Dubai South,24.91,55.16,Villa,143,5741.47,1575000.00,274.32
2022-04-01,2022,148,Marsa Dubai,Dubai Marina,Dubai Marina,25.08,55.14,Unit,573,21416.53,1270000.00,59.30
2022-04-01,2022,149,Me'Aisem First,Dubai Production City (IMPZ),Dubai Production City (IMPZ),25.03,55.19,Unit,85,10488.83,1399000.00,133.38
2022-04-01,2022,149,Me'Aisem First,Dubai Production City (IMPZ),Dubai Production City (IMPZ),25.03,55.19,Villa,19,11382.68,8150000.00,716.00
2022-04-01,2022,152,Muhaisanah First,,Muhaisanah First,,,Unit,42,12412.22,1029800.00,82.97
2022-04-01,2022,161,Nad Al Shiba First,Nad Al Sheba 1,Nad Al Sheba 1,25.16,55.31,Land,14,5143.35,8403650.00,1653.36
2022-04-01,2022,161,Nad Al Shiba First,Nad Al Sheba 1,Nad Al Sheba 1,25.16,55.31,Unit,14,12922.78,958296.50,74.19
2022-04-01,2022,161,Nad Al Shiba First,Nad Al Sheba 1,Nad Al Sheba 1,25.16,55.31,Villa,20,13655.85,5550000.00,407.54
